,Nom du commerce,﻿Catégorie,Adresse,Numéro,Code postal,Localité,Site internet,Géo Point,Entité,Groupement,Nom,Prénom,GSM,Lieu de rendez-vous,Infos rendez-vous,Gare,Activité,15km,PMR,Poussettes,Latitude,Longitude,Time,lun_mat_ouv,lun_mat_ferm,lun_soir_ouv,lun_soir_ferm,mar_mat_ouv,mar_mat_ferm,mar_soir_ouv,mar_soir_ferm,mer_mat_ouv,mer_mat_ferm,mer_soir_ouv,mer_soir_ferm,jeu_mat_ouv,jeu_mat_ferm,jeu_soir_ouv,jeu_soir_ferm,ven_mat_ouv,ven_mat_ferm,ven_soir_ouv,ven_soir_ferm,sam_mat_ouv,sam_mat_ferm,sam_soir_ouv,sam_soir_ferm,dim_mat_ouv,dim_mat_ferm,dim_soir_ouv,dim_soir_ferm
0,Le Coune'Ke,Restaurant,Route de Tirlemont,5,4280,Hannut,http://www.couneke.eatbu.com,"50.677510762,5.071320872",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
1,La Belva,Restaurant,Rue des Mayeurs,9a,4280,Poucet,http://www.labelva.be,"50.677924071,5.112031789",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
2,Le Greco,Restaurant,Route de Landen,2,4280,Hannut,http://www.legrecohannut.be,"50.696380041,5.081903394",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
3,L'Entre Nous,Restaurant,Route de Tirlemont,157,4280,Hannut,http://www.lentrenous.be,"50.677510762,5.071320872",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
4,Chez Mi-Mi,Restaurant,Route de Tirlemont,187,4280,Grand-Hallet,http://www.restochezmimi.com,"50.693519051,5.055381048",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
5,Krua Thai Food,Restaurant,Rue Albert 1er,63,4280,Hannut,Pas d'informations,"50.670079416,5.081582015",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
6,The Delfino Bar,Restaurant,Rue Zenobe Gramme,4,4280,Hannut,Pas d'informations,"50.671341164,5.075842323",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
7,"Restaurant bistronomique ""Chamarel""",Restaurant,Rue Albert 1er,44,4280,Hannut,http://www.chamarel.e-monsite.com,"50.670079416,5.081582015",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
8,L'Hôtel de Ville,Restaurant,Place Henri Hallet,28 bte 2,4280,Hannut,http://www.hdvhannut.be,"50.671569391,5.078932884",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
9,Lunch garden,Restaurant,Rue de Hesbaye,1,4280,Hannut,http://www.lunchgarden.be,"50.67897509,5.079284298",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
10,La Roma,Restaurant,Route de Tirlemont,2 bte A,4280,Hannut,http://www.restaurantlaroma.be,"50.677510762,5.071320872",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
11,Lemon Grass,Restaurant,Rue de Grand Hallet,19a,4280,Avernas-le-Bauduin,https://restolemongrass.com/,"50.696213863,5.06633303",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
12,Mac Donald,Restaurant,Route de Landen,53 A,4280,Hannut,Pas d'informations,"50.696380041,5.081903394",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
13,La Gondola,Restaurant,Grand Place,16,4280,Hannut,http://www.la-gondola.be,"50.672649414,5.077863186",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
14,Le Flore,Restaurant,Route de Landen,165,4280,Avernas-le-Bauduin,http://www.leflorehannut.be,"50.696380041,5.081903394",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
15,Les Comtes de Champagne,Restaurant,Rue de Huy,23,4280,Hannut,http://www.lescomtesdechampagne.be,"50.664769864,5.091593435",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
16,Qui ramène bobonne ?,Restaurant,Rue Zenobe Gramme,55,4280,Hannut,http://www.quiramenebobonne.be,"50.671341164,5.075842323",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
17,Welcome to India,Restaurant,Rue Albert 1er,59,4280,Hannut,http://www.welcometoindia.be,"50.670079416,5.081582015",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
18,Osteria di Panatta(site du Tennis Club Hannutois),Restaurant,Route de Tirlemont,67,4280,hannut,Pas d'informations,"50.677510762,5.071320872",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
19,Le jardin d'orient,Restaurant,Rue Albert 1er,45,4280,Hannut,Pas d'informations,"50.670079416,5.081582015",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
20,Le P'tit Gaby,Restaurant,Rue de la Croix Blanche,8a,4280,Thisnes,Pas d'informations,"50.673343189,5.045626247",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
21,Daily Burger,Restaurant,Route de Landen,1,4280,Hannut,http://www.dailyburger.be,"50.696380041,5.081903394",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
22,Sushi Délice,Restaurant,Grand Place,4,4280,Hannut,http://www.sushidelice.be,"50.672649414,5.077863186",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
23,Le Petit Caprice,Restaurant,Rue Albert 1er,56,4280,Hannut,Pas d'informations,"50.670079416,5.081582015",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
24,Quick,Restaurant,Rue de Huy,56,4280,Hannut,Pas d'informations,"50.664769864,5.091593435",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
25,Le Lotus Bleu,Restaurant,Rue Zenobe Gramme,1,4280,Hannut,http://www.lotusbleu.be,"50.671341164,5.075842323",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
26,Riad Marrakech,Restaurant,Rue Zenobe Gramme,35,4280,Hannut,http://www.riadmarrakechhannut.be,"50.671341164,5.075842323",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
27,Tarte et Quiche,Restaurant,Rue Albert 1er,74,4280,Hannut,http://www.tarteetquiche.be,"50.670079416,5.081582015",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
28,King Wok,Restaurant,Rue de Huy,65,4280,Hannut,Pas d'informations,"50.664769864,5.091593435",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
29,Mille et une nuit,Restaurant,Place Henri Hallet,4,4280,Hannut,Pas d'informations,"50.671569391,5.078932884",Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,Pas d'informations,3,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,9.0,13.3,13.3,18.0,ferme,ferme,ferme,ferme
